temperatura_motor,vibracao,tipo_combustivel,revisao_em_dia,falha_maquina
84.96714153011233,7.099033154879003,1,0,0
78.61735698828815,6.386950524369153,2,0,0
86.47688538100692,5.089445554880261,2,0,0
95.23029856408026,4.029594833441639,2,1,1
77.65846625276664,6.047334970420385,1,0,0
77.6586304305082,5.590228078132625,1,1,1
95.79212815507391,6.342789830041598,2,0,0
87.67434729152909,5.9527577025229546,2,0,1
75.30525614065049,6.574329072979003,1,1,0
85.42560043585965,4.1971471826591475,0,0,0
75.36582307187538,6.976091098451489,2,0,1
75.34270246429743,5.296399407038599,0,1,1
82.41962271566034,5.100301991678596,2,0,1
60.86719755342202,3.9662182728656483,0,1,1
62.75082167486967,7.603945704747874,0,1,1
74.37712470759027,5.296866175193972,0,1,1
69.87168879665576,4.022872994578328,1,0,1
83.14247332595274,4.274171248918518,0,1,0
70.91975924478788,4.519479037708519,0,1,0
65.87696298664709,5.636248919602875,0,0,0
94.65648768921554,5.784253232053249,2,1,1
77.74223699513465,4.139449994092131,0,0,0
80.67528204687923,4.963468111608526,2,0,0
65.75251813786544,8.213405537917795,0,0,1
74.55617275474818,7.591314755151068,0,0,1
81.10922589709867,5.654485504511048,1,1,1
68.49006422577698,5.057005217252301,2,1,0
83.75698018345672,5.1800469900773916,0,1,1
73.99361310081196,5.9202769590956255,2,1,0
77.08306250206724,3.4658111522023916,2,1,0
73.98293387770603,4.613935193864982,1,0,0
98.52278184508938,2.497123889183616,1,1,0
79.86502775262066,5.598834683907919,1,1,0
69.422890710441,5.970793909554112,1,1,1
88.22544912103189,4.275220306550939,1,0,0
67.79156350028978,7.360980144935049,1,0,1
82.08863595004756,3.161351505496488,1,1,1
60.403298761202244,2.8034376796852696,1,0,0
66.71813951101569,5.336677727839958,0,1,0
81.96861235869123,6.570647453918232,2,1,0
87.3846657999541,7.525891537186803,1,0,1
81.7136828118997,4.31167360569659,1,0,0
78.8435171761176,6.618021250146944,2,1,0
76.98896304410711,4.9422372957489396,0,1,0
65.21478009632573,5.100301991678596,2,0,1
72.80155791605291,6.3254899062300085,2,1,1
75.39361229040213,5.978484317620129,1,0,0
90.57122226218915,2.635411764523626,2,1,1
83.43618289568461,7.214810524588843,2,0,1
62.36959844637266,7.0701370312211775,1,1,1
83.24083969394795,4.061655947735706,1,1,1
76.14917719583684,5.593705300156113,1,0,1
73.23077999694041,5.7410452794241085,1,1,1
86.11676288840867,5.391010648735861,2,1,1
90.30999522495951,4.174542269231869,2,0,0
89.31280119116198,3.9925649480929226,0,1,0
71.60782476777362,4.961668893512832,0,1,0
76.90787624148786,6.759093528889047,2,1,1
83.31263431403563,5.8154002318916485,0,0,1
89.75545127122359,4.444078501870841,2,0,0
75.2082576215471,6.157548065972517,0,0,1
78.14341023336183,0.7271860690548868,1,1,0
68.93665025993971,6.723148550558156,0,1,0
68.0379337591933,2.3904293318328507,1,1,1
88.12525822394198,4.456338587895302,1,1,0
93.56240028570824,5.100301991678596,1,0,0
79.27989878419666,3.0579777864186415,1,1,1
90.03532897892023,6.741240181067779,0,1,1
83.61636025047635,4.298448198032163,2,1,0
73.54880245394875,5.519755822596074,1,0,1
83.61395605508415,4.929619131681224,0,1,1
95.38036566465969,5.715561240834682,1,1,0
79.64173960890048,5.115232836590383,0,1,0
95.64643655814007,3.075511663717146,0,1,1
53.80254895910255,5.100301991678596,0,1,0
88.21902504375224,4.259365125258031,2,0,1
80.87047068238171,2.665127152010373,0,1,1
77.00992649534132,4.357827258551131,0,1,1
80.91760776535503,7.2511396859514665,2,1,0
60.124310853991076,6.27533261317024,2,1,1
77.80328112162488,4.477021798388211,0,1,0
83.57112571511746,4.476113443522356,2,1,0
94.77894044741517,5.100301991678596,1,1,0
74.81729781726352,8.11512197534126,1,1,0
71.91506397106812,5.57290317834733,2,1,1
74.98242956415463,5.645062470786605,2,1,0
89.15402117702074,6.545425181047763,0,0,0
83.28751109659684,5.35818373853977,2,0,1
74.70239796232961,4.611436781268945,0,0,0
85.13267433113356,4.705475226372533,1,0,1
80.9707754934804,4.892598110878904,2,1,0
89.68644990532889,4.944166645235238,0,0,1
72.97946906122648,6.09144431545547,0,0,1
76.72337853402232,5.077918828710949,1,1,0
76.07891846867842,6.098960115823369,2,0,0
65.36485051867882,4.878925129837127,1,0,0
82.96120277064576,5.117952785474136,0,1,1
82.6105527217989,2.0026989732018388,0,1,0
80.05113456642461,6.374491512053722,2,1,0
77.65412866624852,5.519732713846989,0,0,0
65.84629257949585,6.497015164789478,2,0,0
75.79354677234642,0.6556169327094663,1,1,0
76.57285483473231,8.132562057171091,2,1,1
71.9772273077838,4.790615557767239,2,0,0
78.3871428833399,6.662274225106275,0,1,0
84.04050856814538,3.440141109311704,0,0,1
98.8618590121053,5.919160857593854,2,1,1
81.74577812831839,3.419876655239516,0,1,0
82.57550390722764,4.064346558956292,0,0,0
79.25554084233833,7.871047030800179,0,1,0
60.812287847009586,5.100301991678596,2,1,1
79.73486124550783,5.326149309769584,0,1,0
80.60230209941027,6.305101596033131,2,0,1
104.63242112485287,5.743522831958907,0,1,1
78.07639035218878,5.225628357715364,1,1,1
83.01547342333612,5.547441503699338,0,1,0
79.65288230294756,8.605123377857414,0,1,0
68.31321962380468,4.913571804449622,2,1,0
91.4282281451502,5.301648570072452,2,1,0
87.51933032686775,6.575981594011418,0,0,1
87.91031947043047,6.658288899436975,1,0,1
70.9061254520526,6.78054545834057,0,1,1
94.02794310936099,5.100301991678596,0,0,1
65.98148937207719,3.2854926309042747,1,0,0
85.8685709380027,7.450147298451644,2,1,0
